//
// Svenska meddelanden, som anv„ndes av COMAL-systemet. Version 3.11
//
// (C) Copyright UniComal A/S 1989-1992.
//     RAN-data LYSEKIL, Rustan Ligander, svensk version.
//     Immestad 3201, 454 00  BRASTAD, 0523-482 21.
//
//----- Runtime meddelanden:
//

  0       "REPORT fel"
  1       "Argument-fel"
  2       "Spill (Overflow)"
  3       "Division med noll"
  4       "Deltextfel"
  5       "Utanf”r v„rdeomr†det"
  6       "STEP = 0"
  7       "Otill†ten gr„ns"
  8       "Felaktigt str„ngformat"
  9       "Uttrycket f”r komplicerat"
  10      "Otill†tet indexv„rde"
  11      "Otill†tet filnamn"
  12      "DATA-konstant av felaktig typ"
  13      "Inget tal, Not-A-Number (NaN)"
  14      "Programmet f”r stort"
  15      "Inget minne kvar f”r swapping"
  16      "Inte sparat med SAVE"
  17      "Programmet f”r annan COMAL-version"
  18      "Inget utrymme f”r externa enheter"
  19      "Tabellen „r felaktigt dimensionerad"
  20      "Inget minne kvar f”r dynamiska variabler"
  21      "VOID-pekare kan inte peka p† en variabel"
  22      "Attribut inte dimensionerat"
  23      "Passande WHEN-v„rde saknas"
  24      "RETURN har inte returnerat ett funktionsv„rde"
  25      "Variabeln „r redan dimensionerad"
  26      "Meddelandenumret finns inte lokalt i MODULE/STRUC"
  27      "F”r m†nga STRUC-variabler inne i varandra"
  28      "Ingen meddelandefil till MODULE/STRUC"
  29      "Variabeln kan inte dimensioneras h„r"
  30      "Inget minne kvar f”r tabeller eller str„ngar"

//
//----- SCAN-meddelanden.
//

  44      "Namnkonflikt skall l”sas med punkt(dot)-notation"
  45      "Denna linje „r felbeh„ftad. Var v„nlig r„tta den."
  46      "Otilldelad variabel"
//----- 45 reserverat f”r GOTO/GOSUB
//----- 46 reserverat f”r GOTO/GOSUB
  47      "Saknas i entry versionen"
  48      "MODULE/STRUC '"
  49      "Otill†ten anv„ndning av PROC-parameter"
  50      "MODULE/STRUC inneh†ller inte vad som f”rv„ntas"
  51      "Systemfel"
  52      "Ingen plats p† stacken"
  53      "Parametern har fel dimension"
  54      "Parametern skall vara en tabell"
  55      "F”r f† index"
  56      "Kan inte tilldela funktionsanrop eller LOOP-r„knare"
  57      "Finns inte inbyggt i systemet"
  58      "CON/TRACE „r inte m”jligt"
  59      "Programmet „r inte SCAN-at"
  60      "F”r m†nga index"
  61      "Programtexten kan varken „ndras eller sparas med SAVE"
  62      "Ingen procedur"
  63      "Odefinierad procedur eller sats"
  64      "GOTO ej till†tet"
  65      "Variabeln „r inte dimensionerad"
  66      "F”r m†nge PROC/FUNC inne i varandra"
  67      "Parameterlistorna „r olika, eller s† saknas CLOSED"
  68      "Ingen passende CLOSED PROC/FUNC i fil"
  69      "F”r f† parametrar"
  70      "Felaktig indextyp"
  71      "Parametern skall vara en variabel"
  72      "Felaktig parametertyp"
  73      "Parametern kan inte vara en tabell"
  74      "Varken en tabell eller en funktion"
  75      "Ingen enkel variabel"
  76      "Ok„nd tabell eller funktion"
